"","g","year","month","age","location","opp","minutes","seconds","result","fg","fga","fg_percent","three_pts","three_pa","three_pts_percent","ft","fta","ft_percent","orb","drb","trb","ast","stl","blk","tov","pf","pts","gm_sc","pm","ts_percent","efg_percent","orb_percent","drb_percent","trb_percent","ast_percent","stl_percent","blk_percent","tov_percent","usg_percent","ortg","drtg","bpm"
"119",39,2017,1,21,"Away","MIN",27,11,"L",8,15,0.533,0,3,0,2,2,1,5,4,9,4,2,2,4,5,18,15.6,-7,0.567,0.533,22.1,19.1,20.6,25.3,3.7,5,20.1,32.4,109,106,3.6
"120",40,2017,1,21,"Home","UTA",35,12,"W",9,15,0.6,0,4,0,5,5,1,0,11,11,6,2,3,4,3,23,22.5,3,0.669,0.6,0,34.1,18.1,36,2.9,6.5,18.9,27.9,114,87,12
"121",41,2017,1,21,"Home","PHO",35,46,"W",12,21,0.571,0,2,0,5,6,0.833,8,6,14,8,1,2,3,2,29,30.3,21,0.613,0.571,27.5,23,25.4,38.5,1.4,4.1,11.3,31.5,141,124,10.9
"122",42,2017,2,21,"Home","MIL",32,19,"W",8,15,0.533,2,4,0.5,2,2,1,6,6,12,11,1,0,2,0,20,25.4,8,0.63,0.6,17.8,24.8,20.7,58.1,1.4,0,11.2,21.7,142,115,15.9
"123",43,2017,2,21,"Away","SAS",15,24,"L",5,9,0.556,1,2,0.5,0,0,NA,1,0,1,2,0,0,5,3,11,2.6,-14,0.611,0.611,6.6,0,3.9,24.5,0,0,35.7,37.2,82,130,-8.2
"124",44,2017,2,21,"Home","DAL",24,24,"W",5,9,0.556,0,1,0,3,3,1,1,3,4,9,1,0,2,5,13,13.6,18,0.63,0.556,5.5,14.1,10.1,55,2.1,0,16.2,22.9,135,96,10.9
"125",45,2017,2,21,"Away","ATL",34,16,"L",8,17,0.471,2,3,0.667,0,0,NA,9,6,15,3,0,0,0,4,18,17.9,-12,0.529,0.529,22.1,21,21.7,14.6,0,0,0,20,138,126,2.7
"126",46,2017,2,21,"Away","NYK",36,41,"W",17,23,0.739,2,3,0.667,4,5,0.8,4,5,9,5,2,0,2,2,40,37.3,19,0.794,0.783,13.4,17.2,15.3,20.6,2.8,0,7.4,31.1,161,128,15.4
"127",47,2017,2,21,"Away","CLE",37,39,"L",9,18,0.5,1,2,0.5,8,10,0.8,6,7,13,4,0,2,5,2,27,21.9,-10,0.603,0.528,14.2,24.8,18.4,18.5,0,4.7,18.2,29.4,114,127,4
"128",48,2017,2,21,"Home","GSW",36,0,"W",7,13,0.538,0,0,NA,3,4,0.75,6,15,21,12,2,0,6,3,17,22.2,33,0.576,0.538,21.6,47.6,35.4,41.4,2.6,0,28.9,23.7,127,104,7.7
"129",49,2017,2,21,"Home","MIN",33,57,"L",6,19,0.316,2,5,0.4,1,2,0.5,4,10,14,4,1,3,2,5,15,11.4,1,0.377,0.368,11.3,32.1,21.1,19.2,1.5,6.2,9.1,26.7,89,107,1
"130",50,2017,2,22,"Away","SAC",25,33,"L",2,7,0.286,0,2,0,0,0,NA,2,9,11,2,0,0,1,3,4,3.2,5,0.286,0.286,8,40.3,23.2,10.7,0,0,12.5,13.6,77,117,-10.8
"131",51,2017,2,22,"Home","BRK",14,47,"W",1,1,1,0,0,NA,0,0,NA,3,2,5,7,1,1,4,4,2,5.4,6,1,1,21.2,13.8,17.5,49.7,3,6.1,80,13.5,107,94,5
"132",52,2017,2,22,"Home","MEM",33,20,"L",5,11,0.455,0,2,0,0,0,NA,2,9,11,6,1,1,2,3,10,11.1,4,0.455,0.455,6.3,30.9,18,29,1.6,3.1,15.4,18.1,101,109,1
"133",53,2017,2,22,"Away","CHI",32,44,"W",6,10,0.6,3,3,1,4,4,1,2,14,16,10,0,1,3,1,19,24.3,19,0.808,0.75,9.8,41.1,29.3,40.5,0,2.1,20.3,20.3,151,102,17.2
"134",54,2017,3,22,"Away","MIL",29,41,"W",6,10,0.6,0,0,NA,1,2,0.5,4,10,14,10,1,0,3,1,13,18.4,17,0.597,0.6,17,39.4,28.7,51.7,1.8,0,21.6,21,130,103,14.1
"135",55,2017,3,22,"Home","CHO",32,55,"L",13,15,0.867,0,0,NA,5,8,0.625,3,11,14,4,1,0,4,1,31,29.3,-1,0.837,0.867,10.7,34.1,23.2,34.2,1.6,0,17.8,31.6,138,118,17.6
"136",56,2017,3,22,"Home","BOS",26,51,"W",8,10,0.8,1,2,0.5,4,6,0.667,3,7,10,7,4,1,7,4,21,21.6,8,0.831,0.85,14.9,26.1,21.3,40.8,7.2,3.7,35.6,31.2,119,84,17
"137",57,2017,3,22,"Away","SAC",30,12,"W",7,12,0.583,1,3,0.333,5,5,1,3,11,14,2,2,0,2,1,20,20.8,14,0.704,0.625,11.9,38.9,26.2,11,3.5,0,12.3,25.3,134,93,9.6
"138",58,2017,3,22,"Home","LAL",24,1,"W",8,13,0.615,0,3,0,2,2,1,1,8,9,4,1,0,1,2,18,17.2,16,0.648,0.615,5.6,30.7,20.4,27.6,2,0,6.7,27,130,93,5.1
"139",59,2017,3,22,"Home","LAC",30,25,"W",7,12,0.583,0,1,0,3,3,1,3,11,14,10,0,0,2,2,17,21,7,0.638,0.583,11.5,42.3,26.9,45.1,0,0,13.1,22.5,144,122,9.6
"140",60,2017,3,22,"Home","HOU",21,35,"L",7,14,0.5,1,2,0.5,1,1,1,2,3,5,4,0,1,3,5,16,9.8,6,0.554,0.536,8.7,15.9,12,39.7,0,3.8,17.2,33.7,101,111,3.4
"141",61,2017,3,22,"Away","HOU",39,37,"L",7,14,0.5,0,3,0,8,8,1,1,12,13,8,0,1,5,3,22,19.4,-9,0.628,0.5,3.3,31.6,19,27.3,0,2.4,22.2,23.4,116,119,2.7
"142",62,2017,3,22,"Home","CLE",28,39,"W",8,10,0.8,0,0,NA,0,0,NA,2,8,10,7,0,0,3,2,16,17.1,5,0.8,0.8,8.2,32.7,20.4,31.2,0,0,23.1,20.2,135,121,7.6
"143",63,2017,3,22,"Away","IND",34,23,"W",12,18,0.667,1,2,0.5,5,5,1,4,12,16,5,1,0,4,2,30,28.3,9,0.743,0.694,14.3,37.2,26.6,31.4,1.4,0,16.5,29.7,134,114,11
"144",64,2017,3,22,"Home","NOP",18,27,"L",4,14,0.286,0,3,0,0,0,NA,3,10,13,2,0,0,0,3,8,5.1,-6,0.286,0.286,13.7,51,31.3,20.3,0,0,0,33.1,73,107,-3.8
"145",65,2017,3,22,"Away","POR",35,58,"L",7,14,0.5,1,6,0.167,2,2,1,3,5,8,8,0,2,3,4,17,16,-8,0.571,0.536,9.1,13.3,11.4,30.8,0,4.2,16.8,20.8,119,123,5.2
"146",66,2017,3,22,"Away","CHO",36,38,"L",11,16,0.688,2,3,0.667,2,3,0.667,3,10,13,10,0,0,2,4,26,27.3,3,0.751,0.75,9.1,26.7,18.5,42.8,0,0,10.4,23.5,151,127,14
"147",67,2017,4,22,"Away","MIA",35,11,"W",9,16,0.563,0,2,0,1,1,1,1,9,10,7,2,0,1,2,19,19.9,16,0.578,0.563,3.4,29.9,16.8,30.1,2.8,0,5.7,22.3,121,113,6.6
"148",68,2017,4,22,"Away","NOP",33,30,"W",10,18,0.556,0,2,0,1,2,0.5,4,8,12,4,0,0,1,2,21,18.2,-8,0.556,0.556,14.3,25.5,20.2,14.8,0,0,5,24.1,131,130,0.4
"149",69,2017,4,22,"Away","HOU",33,52,"L",6,17,0.353,0,5,0,0,0,NA,3,16,19,9,5,1,2,3,12,18.2,8,0.353,0.353,7.5,45.4,25.2,39.3,6.6,2.7,10.5,21.7,88,83,11
"150",70,2017,4,22,"Home","NOP",29,4,"W",9,13,0.692,2,2,1,3,4,0.75,3,9,12,5,2,0,7,1,23,20,18,0.779,0.769,14.6,30.3,23.9,29.3,3.2,0,32.2,31.8,111,99,7
"151",71,2017,4,22,"Home","OKC",31,28,"L",8,16,0.5,1,5,0.2,6,6,1,1,5,6,3,1,1,3,5,23,16,-3,0.617,0.531,3.8,13.6,9.5,16.5,1.6,2.1,13.9,32.2,111,107,2.5
"152",72,2017,4,22,"Away","DAL",19,35,"W",3,6,0.5,1,3,0.333,0,0,NA,1,7,8,4,0,0,1,2,7,7.8,-7,0.583,0.583,5.6,33.6,20.6,29.1,0,0,14.3,16.2,125,94,3.7
"153",73,2017,4,22,"Away","OKC",40,13,"W",9,14,0.643,0,0,NA,11,14,0.786,2,14,16,8,1,5,4,4,29,31.7,9,0.719,0.643,5.7,32.1,20.3,33.8,1.1,7.9,16.6,25.3,131,90,14.6
"154",1,2017,10,22,"Away","UTA",35,33,"L",3,10,0.3,1,4,0.25,0,0,NA,0,12,12,7,0,0,4,1,7,5.3,-9,0.35,0.35,0,43.8,21.9,29.6,0,0,28.6,18.5,76,111,-3.5
"155",2,2017,10,22,"Home","SAC",30,32,"W",0,3,0,0,1,0,0,0,NA,0,9,9,7,1,0,3,4,0,1.9,21,0,0,0,27.2,14.6,29.7,1.8,0,50,8.6,59,83,-5.1
"156",3,2017,10,22,"Home","WAS",35,2,"L",9,14,0.643,3,3,1,8,8,1,2,7,9,5,1,0,7,4,29,22.2,-1,0.828,0.75,7.4,21.3,15,25.7,1.4,0,28.5,29.7,120,107,9.7
"157",4,2017,10,22,"Away","CHO",30,19,"L",8,12,0.667,1,1,1,1,1,1,6,6,12,0,0,0,2,3,18,15.6,-19,0.723,0.708,16.4,22.1,18.8,0,0,0,13.9,19.1,131,116,4.1
"158",5,2017,10,22,"Away","ATL",34,16,"W",8,16,0.5,0,1,0,2,2,1,4,11,15,5,1,0,2,0,18,18.6,8,0.533,0.5,13,33.5,23.6,22.7,1.5,0,10.6,23.6,114,101,5.5
"159",6,2017,10,22,"Away","BRK",29,29,"W",9,16,0.563,1,3,0.333,2,2,1,1,13,14,4,1,1,1,3,21,20.3,7,0.622,0.594,3.8,35.9,22.3,20.1,1.6,2.5,5.6,26.5,124,94,7.4
"160",7,2017,10,22,"Away","NYK",30,10,"L",9,15,0.6,6,10,0.6,4,6,0.667,3,5,8,2,1,1,2,1,28,24.6,5,0.794,0.8,9.4,23.4,15,15.4,1.6,3.2,10.2,28,144,118,15.4
"161",8,2017,11,22,"Home","TOR",30,38,"W",4,10,0.4,0,3,0,0,0,NA,3,13,16,10,1,2,0,2,8,17.2,20,0.4,0.4,12.4,47.4,31,38.5,1.6,5.8,0,13.9,138,103,9.2
"162",9,2017,11,22,"Home","MIA",33,51,"W",8,15,0.533,2,6,0.333,1,1,1,5,9,14,2,4,1,1,4,19,21.4,-5,0.615,0.6,15.4,35.5,24.2,11.5,6,3.5,6.1,21.6,132,86,13.3
"163",10,2017,11,22,"Home","GSW",19,39,"L",2,6,0.333,0,0,NA,4,4,1,1,6,7,3,2,0,1,1,8,9.8,-16,0.515,0.333,5.7,33.3,19.7,20.9,4.7,0,11.4,18.5,113,115,3.4
"164",11,2017,11,22,"Home","BRK",31,22,"W",16,25,0.64,4,9,0.444,5,6,0.833,2,10,12,5,2,2,1,6,41,37.4,25,0.742,0.72,6.4,33.3,19.5,39.2,2.7,5.7,3.5,36.3,145,88,23.6
"165",12,2017,11,22,"Home","OKC",27,51,"W",7,16,0.438,1,5,0.2,0,0,NA,3,8,11,3,1,0,3,4,15,9.6,5,0.469,0.469,12.9,28.1,21.3,19.9,1.9,0,15.8,29.9,95,94,-2.2
"166",13,2017,11,22,"Home","ORL",37,36,"W",3,8,0.375,1,1,1,5,6,0.833,5,12,17,9,4,1,1,2,12,23.5,25,0.564,0.438,15.6,34,25.2,27.2,5.3,2.3,8.6,13.4,151,98,11
"167",14,2017,11,22,"Away","POR",34,56,"L",2,9,0.222,1,4,0.25,1,2,0.5,0,7,7,3,3,1,3,2,6,4.2,0,0.304,0.278,0,31,12.3,15.1,4.4,2.6,23.3,16,60,97,-2.5
"168",15,2017,11,22,"Home","NOP",26,31,"W",3,5,0.6,1,2,0.5,6,6,1,3,8,11,6,0,1,2,3,13,16.9,23,0.851,0.7,16,33.7,25.9,21.5,0,3.1,20.7,15.5,167,113,7.8
"169",16,2017,11,22,"Away","LAL",11,35,"L",1,5,0.2,0,0,NA,4,4,1,4,2,6,1,1,0,2,2,6,5.2,-16,0.444,0.2,33.2,19.3,26.7,13,4,0,22.8,30.4,101,117,-6.2
"170",17,2017,11,22,"Away","SAC",34,57,"W",7,12,0.583,2,6,0.333,0,0,NA,4,10,14,3,1,1,2,0,16,18,24,0.667,0.667,12.8,34.3,23.2,12.7,1.5,2.1,14.3,17.8,135,101,7
"171",18,2017,11,22,"Away","HOU",25,42,"L",7,14,0.5,1,2,0.5,2,3,0.667,2,4,6,3,2,1,2,2,17,14.2,-12,0.555,0.536,7,20.8,12.6,25.6,3.7,4.6,11.5,27.9,110,119,6.9
"172",19,2017,11,22,"Home","MEM",35,55,"W",11,17,0.647,2,5,0.4,4,6,0.667,5,8,13,8,2,0,5,4,28,26.6,17,0.713,0.706,19.1,28.1,23.8,42.3,2.9,0,20.3,29.5,132,97,14.9
"173",20,2017,11,22,"Away","UTA",26,16,"L",3,7,0.429,1,3,0.333,0,0,NA,0,6,6,6,1,1,2,1,7,8.6,-20,0.5,0.5,0,28.1,12.9,48.7,2.1,3.3,22.2,16.1,100,113,6.8
"174",21,2017,11,22,"Home","CHI",15,55,"W",3,6,0.5,0,0,NA,2,2,1,2,2,4,4,0,0,0,1,8,9.4,-6,0.581,0.5,13.4,15.5,14.4,41.7,0,0,0,19.1,150,120,7.2
"175",22,2017,12,22,"Home","NOP",22,12,"W",6,13,0.462,1,2,0.5,0,0,NA,3,8,11,4,0,0,1,2,13,11.8,-4,0.5,0.5,15.6,43.4,29.2,30.1,0,0,7.1,27.6,114,106,4.2
"176",23,2017,12,22,"Away","OKC",25,13,"L",5,9,0.556,0,2,0,3,4,0.75,2,7,9,2,2,0,1,2,13,13.4,3,0.604,0.556,9.1,31,20.2,13.9,4.2,0,8.5,21.9,123,98,7.1
"177",24,2017,12,22,"Home","MIN",36,5,"L",6,12,0.5,2,6,0.333,8,9,0.889,0,6,6,4,0,2,10,3,22,10.4,-1,0.689,0.583,0,19,10.1,19,0,4.2,38.5,33.3,87,119,-7.1
"178",25,2017,12,22,"Away","POR",37,8,"W",12,21,0.571,2,6,0.333,1,1,1,3,6,9,6,0,2,4,4,27,21,29,0.63,0.619,9.7,18,14,29.3,0,4.2,15.7,31.1,125,98,10.1
"179",26,2017,12,22,"Away","GSW",36,38,"W",9,16,0.563,0,3,0,0,0,NA,3,6,9,4,1,1,2,0,18,16.8,17,0.563,0.563,10.6,17.1,14.2,20,1.4,2.3,11.1,22.1,113,88,6.4
"180",27,2017,12,22,"Home","UTA",25,33,"W",4,10,0.4,1,3,0.333,4,4,1,2,5,7,5,1,0,1,5,13,12,11,0.553,0.45,9.4,17.1,13.8,29.8,2.2,0,7.8,24,129,91,8.2
"181",28,2017,12,22,"Away","MIN",41,20,"L",5,11,0.455,1,3,0.333,11,12,0.917,1,8,9,4,2,1,2,3,22,21.3,1,0.676,0.5,2.8,23.3,12.8,14.4,2.6,2.1,10.9,20.6,136,121,5.8
"182",29,2017,12,22,"Home","PHI",36,37,"L",5,14,0.357,1,5,0.2,8,9,0.889,5,8,13,6,1,3,2,0,19,22,14,0.529,0.393,14.9,23.3,19.1,27.7,1.3,5.7,10,22.8,119,103,9.3
"183",30,2018,1,22,"Home","PHO",36,23,"W",4,6,0.667,1,1,1,5,5,1,1,8,9,8,2,0,6,3,14,14.9,24,0.854,0.75,4.5,19.5,14.3,23.1,2.6,0,42.3,16.8,119,107,0.7
"184",31,2018,1,22,"Home","UTA",32,7,"W",3,13,0.231,1,4,0.25,1,2,0.5,2,8,10,4,1,0,2,3,8,4.1,6,0.288,0.269,6.1,29.2,16.6,17.8,1.6,0,12.6,23.1,70,94,-7.2
"185",32,2018,1,22,"Away","SAC",34,18,"L",3,10,0.3,0,4,0,2,2,1,1,6,7,10,0,0,5,3,8,5.5,-13,0.368,0.3,3.8,17.5,11.5,45.4,0,0,31.5,20.2,87,109,-3.4
"186",33,2018,1,22,"Away","GSW",36,9,"L",9,16,0.563,1,1,1,3,3,1,4,8,12,11,3,1,6,3,22,23.8,2,0.635,0.594,11.5,29.5,19.4,41.7,4.1,2.4,25.7,27.4,115,117,10.6
"187",34,2018,1,22,"Home","ATL",31,31,"L",4,21,0.19,0,8,0,1,2,0.5,6,6,12,7,2,3,2,3,9,7.3,-14,0.206,0.19,17.6,28.6,21.8,33.4,3.1,8.6,8.4,31.4,69,106,-4.2
"188",35,2018,1,22,"Home","MEM",28,8,"W",3,8,0.375,1,3,0.333,7,8,0.875,2,5,7,3,0,0,1,3,14,12,8,0.608,0.438,8.5,19.8,14.4,23.4,0,0,8,21.8,135,95,6
"189",36,2018,1,22,"Away","SAS",30,24,"L",8,13,0.615,3,6,0.5,4,4,1,3,6,9,7,2,0,2,2,23,25.1,-18,0.779,0.731,9.9,26.3,16.9,67.5,3.4,0,11.9,25.1,147,117,23.1
"190",37,2018,1,22,"Home","DAL",33,24,"W",11,23,0.478,0,2,0,7,10,0.7,9,9,18,7,2,1,5,5,29,25.7,-2,0.529,0.478,28.7,35,31.5,41.6,2.9,2.8,15.4,40.3,113,99,10.8
"191",38,2018,1,22,"Away","LAC",34,4,"L",7,18,0.389,1,8,0.125,3,4,0.75,1,7,8,2,1,2,1,4,18,11.8,-10,0.455,0.417,2.8,19.3,11.1,8.8,1.4,4.9,4.8,23.6,107,105,-0.4
"192",39,2018,1,22,"Home","PHO",34,37,"L",5,12,0.417,2,3,0.667,2,2,1,3,14,17,5,0,0,6,4,14,9.8,-1,0.543,0.5,10.4,49.8,29.8,24.7,0,0,31.8,25.4,90,116,-6.1
"193",40,2018,1,22,"Home","POR",32,40,"W",5,17,0.294,2,5,0.4,4,7,0.571,4,8,12,5,1,1,3,4,16,10.7,9,0.398,0.353,12.5,25.6,19,27.6,1.6,2.4,13,30.1,92,104,-0.6
"194",41,2018,1,22,"Home","NYK",35,16,"W",5,9,0.556,1,2,0.5,7,9,0.778,1,6,7,10,0,0,1,4,18,19.8,12,0.694,0.611,4.3,24.7,14.7,33,0,0,7.2,18.3,153,121,6.5
"195",42,2018,1,22,"Home","DAL",39,49,"W",5,13,0.385,1,6,0.167,0,1,0,1,15,16,11,0,2,3,3,11,13.6,9,0.409,0.423,2.7,34.8,20.1,47.4,0,4.5,18.2,19.5,97,94,4.8
"196",43,2018,1,22,"Home","BOS",35,16,"L",8,17,0.471,2,5,0.4,6,7,0.857,4,7,11,5,0,0,2,2,24,20.5,10,0.598,0.529,12.1,22.7,17.2,21.9,0,0,9.1,26.8,129,122,7
"197",44,2018,1,22,"Away","SAS",34,15,"L",6,11,0.545,1,2,0.5,0,0,NA,2,5,7,8,0,0,5,3,13,10,-8,0.591,0.591,7,17.1,12.1,35.5,0,0,31.3,21.3,102,119,-2.2
"198",45,2018,2,22,"Home","OKC",37,21,"W",11,18,0.611,2,5,0.4,5,6,0.833,3,10,13,14,1,2,2,3,29,34.5,5,0.703,0.667,9.6,29.9,20.1,50.2,1.3,3.7,8.8,25.2,152,117,19.2
"199",46,2018,2,22,"Home","GSW",33,16,"W",7,16,0.438,2,3,0.667,3,3,1,3,6,9,5,2,0,4,2,19,15.2,0,0.548,0.5,9.2,20.1,14.4,25,3,0,18.8,25.9,107,106,4.6
"200",47,2018,2,22,"Home","CHO",32,28,"W",5,11,0.455,2,4,0.5,3,3,1,3,13,16,7,2,0,3,3,15,18,15,0.609,0.545,12.3,46.9,30.7,26.8,3.2,0,19.6,23.2,126,108,4.5
"201",48,2018,2,22,"Away","HOU",21,33,"L",6,8,0.75,1,1,1,1,2,0.5,1,6,7,5,2,1,1,4,14,16.5,-24,0.788,0.813,5.1,31.1,17.9,38.9,4.5,4.9,10.1,20.5,146,117,17.1
"202",49,2018,2,22,"Away","PHO",27,7,"W",5,12,0.417,1,2,0.5,10,11,0.909,1,8,9,8,1,1,2,3,21,21.4,5,0.624,0.458,5.2,36.3,21.8,39.2,1.7,2.7,10.6,30.1,135,108,11.5
"203",50,2018,2,22,"Home","SAS",32,57,"W",8,15,0.533,2,5,0.4,5,6,0.833,5,8,13,11,0,1,1,0,23,28.6,11,0.652,0.6,16.9,34.3,24.6,46.7,0,2.4,5.4,24.3,151,112,19.2
"204",51,2018,2,22,"Away","MIL",33,47,"W",11,14,0.786,3,3,1,5,5,1,4,11,15,17,1,2,8,5,30,35,11,0.926,0.893,15.4,42.2,28.8,77,1.4,4.3,33.1,30.8,150,113,21.1
"205",52,2018,2,23,"Home","SAS",34,17,"W",10,16,0.625,3,5,0.6,5,7,0.714,4,7,11,11,0,0,3,6,28,27.2,9,0.734,0.719,12.4,21.8,17.1,45.3,0,0,13.6,26.6,148,125,15.7
"206",53,2018,2,23,"Home","HOU",31,2,"L",7,18,0.389,0,1,0,7,9,0.778,7,7,14,8,1,1,3,4,21,20.1,-9,0.478,0.389,25.2,30.9,27.8,37.3,1.6,3.7,12,33.7,114,121,4.4
"207",54,2018,2,23,"Home","LAC",27,54,"L",4,5,0.8,2,3,0.667,8,8,1,0,6,6,4,1,1,5,4,18,15.8,6,1.056,1,0,24,12.3,19.1,1.6,2.7,37,19.4,132,113,6.5
"208",55,2018,3,23,"Away","MEM",33,10,"W",2,5,0.4,0,1,0,5,7,0.714,1,8,9,5,1,0,5,5,9,6.1,6,0.557,0.4,5,24.1,16.9,19.5,1.5,0,38.2,17.8,90,104,-6.8
"209",56,2018,3,23,"Away","CLE",32,13,"W",3,8,0.375,1,2,0.5,2,3,0.667,1,6,7,8,0,1,2,2,9,10.2,12,0.483,0.438,4.3,21.8,13.7,28,0,2.3,17.7,16.6,117,125,-1.3
"210",57,2018,3,23,"Away","DAL",25,45,"L",2,9,0.222,0,4,0,0,1,0,1,8,9,5,2,1,1,0,4,6.4,-8,0.212,0.222,3.5,31.7,16.8,27.2,3.6,3,9.6,16.6,68,104,-1.7
"211",58,2018,3,23,"Home","CLE",33,30,"L",12,14,0.857,2,3,0.667,10,11,0.909,4,9,13,6,0,0,5,2,36,34.5,1,0.955,0.929,13.6,29.3,21.7,34.7,0,0,21,29.7,156,118,21.5
"212",59,2018,3,23,"Home","LAL",32,48,"W",8,14,0.571,1,3,0.333,4,4,1,3,3,6,6,2,0,3,2,21,19.8,13,0.666,0.607,11.3,10.7,11,29,3,0,16,25.4,129,118,4
"213",60,2018,3,23,"Home","SAC",29,33,"W",8,10,0.8,4,4,1,0,0,NA,0,11,11,10,2,1,2,1,20,26.8,33,1,1,0,35.7,20.1,43.9,3.4,2.7,16.7,18.5,167,97,25.3
"214",61,2018,3,23,"Away","LAL",26,39,"L",5,8,0.625,2,5,0.4,3,3,1,1,8,9,5,1,0,4,3,15,13.8,5,0.805,0.75,4,28.3,16.9,31.1,1.7,0,30,21.2,118,105,5.6
"215",62,2018,3,23,"Home","DET",37,55,"W",8,15,0.533,2,5,0.4,5,6,0.833,2,10,12,10,3,3,2,5,23,27.8,15,0.652,0.6,6,28.8,17.7,38.5,3.8,5.8,10.2,22.1,140,102,15.1
"216",63,2018,3,23,"Away","MEM",35,14,"L",5,15,0.333,1,4,0.25,6,8,0.75,5,8,13,2,3,2,1,3,17,17.2,-1,0.459,0.367,13.4,24.2,18.4,10.8,4.8,5.6,5.1,24.9,113,105,5.7
"217",64,2018,3,23,"Away","MIA",47,29,"L",12,22,0.545,4,5,0.8,6,6,1,5,10,15,3,1,0,5,5,34,26,1,0.69,0.636,12.2,29.1,19.9,11.7,1.1,0,16.9,28,125,131,1.8
"218",65,2018,3,23,"Away","CHI",23,51,"W",9,11,0.818,2,2,1,1,1,1,2,5,7,5,0,0,1,1,21,21.9,18,0.918,0.909,12.2,21.9,17.8,30.6,0,0,8,23.4,178,108,13.4
"219",66,2018,3,23,"Away","WAS",37,17,"W",10,21,0.476,3,6,0.5,2,2,1,0,8,8,5,0,1,2,2,25,18.1,12,0.571,0.548,0,26.4,12.3,26.7,0,2.5,8.4,29.9,109,108,2.7
