"","g","year","month","age","location","opp","minutes","seconds","result","fg","fga","fg_percent","three_pts","three_pa","three_pts_percent","ft","fta","ft_percent","orb","drb","trb","ast","stl","blk","tov","pf","pts","gm_sc","pm","ts_percent","efg_percent","orb_percent","drb_percent","trb_percent","ast_percent","stl_percent","blk_percent","tov_percent","usg_percent","ortg","drtg","bpm"
"314",6,2019,11,24,"Away","ORL",31,27,"W",7,14,0.5,3,7,0.429,3,4,0.75,0,7,7,4,0,0,1,2,20,15.7,14,0.635,0.607,0,24.3,12.1,37.4,0,0,6,24.8,124,95,10.2
"315",7,2019,11,24,"Home","MIA",22,46,"W",4,12,0.333,1,4,0.25,0,1,0,0,5,5,5,1,1,4,4,9,2.9,11,0.362,0.375,0,20.7,11.6,28.8,2.1,3.6,24.3,30.9,69,86,-7.4
"316",8,2019,11,24,"Home","PHI",37,47,"W",10,22,0.455,2,9,0.222,4,5,0.8,2,8,10,6,2,2,1,4,26,23,18,0.537,0.5,5.6,22.6,14.1,29,2.6,4.2,4,30.6,113,96,8.7
"317",9,2019,11,24,"Away","MIN",35,55,"W",9,23,0.391,1,7,0.143,1,3,0.333,3,3,6,7,1,1,0,4,20,14.7,-2,0.411,0.413,8.5,7.6,8,40.2,1.4,2.8,0,27.9,104,94,9.2
"318",10,2019,11,24,"Home","ATL",30,44,"L",7,19,0.368,1,8,0.125,5,6,0.833,1,5,6,7,3,0,2,2,20,16.4,-2,0.462,0.395,3.1,22.3,11,31.2,4.8,0,8.5,31.6,106,120,3.4
"319",11,2019,11,24,"Home","BRK",28,2,"W",8,14,0.571,2,5,0.4,0,0,NA,2,8,10,3,0,0,0,4,18,15.7,-2,0.643,0.643,5.9,24.9,15.2,17.5,0,0,0,21.3,137,95,9
"320",12,2019,11,24,"Away","MEM",25,34,"W",4,7,0.571,1,3,0.333,0,0,NA,0,5,5,8,0,0,2,3,9,9.6,22,0.643,0.643,0,22.4,11.2,36.2,0,0,22.2,15.2,127,119,-0.4
"321",13,2019,11,24,"Home","HOU",32,26,"W",12,19,0.632,2,4,0.5,1,1,1,5,7,12,4,0,0,7,5,27,17.9,7,0.694,0.684,15.1,24.7,19.5,22.6,0,0,26.5,34.1,105,103,3.3
"322",14,2019,11,24,"Home","BOS",35,30,"W",7,17,0.412,0,4,0,4,4,1,3,13,16,10,3,1,3,2,18,21.8,10,0.48,0.412,8.8,41.9,24.6,45.8,4.2,2.5,13.8,26.6,108,86,14.2
"323",15,2019,11,24,"Home","PHO",32,20,"W",4,9,0.444,0,1,0,0,0,NA,4,9,13,5,2,0,1,2,8,12.5,8,0.444,0.444,12.4,33.4,21.9,20,3.3,0,10,13.4,125,107,2.6
"324",16,2019,11,24,"Home","WAS",24,53,"W",4,8,0.5,0,0,NA,0,0,NA,2,18,20,5,0,0,3,3,8,10.1,10,0.5,0.5,9.4,65.5,41,24.6,0,0,27.3,17.7,96,94,-0.9
"325",17,2019,11,24,"Away","SAC",36,29,"L",3,11,0.273,0,3,0,1,2,0.5,3,7,10,6,0,1,4,3,7,4,-3,0.295,0.273,9.5,19.6,14.8,27.5,0,2.3,25.2,20.6,71,101,-8.1
"326",18,2019,12,24,"Home","LAL",34,24,"L",4,12,0.333,0,2,0,5,6,0.833,1,4,5,8,3,0,5,4,13,9.7,-6,0.444,0.333,2.8,13.3,7.7,35.5,4.3,0,25.5,25,82,103,0.4
"327",19,2019,12,24,"Away","NYK",24,44,"W",3,7,0.429,0,1,0,0,0,NA,1,9,10,8,0,1,0,2,6,11.2,10,0.429,0.429,5.2,39.7,24,36,0,4,0,12.6,146,92,4.2
"328",20,2019,12,24,"Away","BOS",30,40,"L",13,21,0.619,1,5,0.2,3,3,1,4,6,10,4,1,2,1,3,30,28.1,0,0.672,0.643,13.9,28.5,20.1,33.6,1.6,6.7,4.3,32.4,140,106,23.9
"329",21,2019,12,24,"Away","BRK",33,39,"L",10,21,0.476,2,6,0.333,2,2,1,2,9,11,6,0,0,3,3,24,17.4,-10,0.548,0.524,6.3,32.1,18.5,39.4,0,0,12.1,33.1,107,109,4.2
"330",22,2019,12,24,"Away","PHI",33,10,"L",7,13,0.538,1,4,0.25,0,0,NA,0,7,7,11,0,1,2,2,15,16.4,8,0.577,0.577,0,22.5,11.6,59.2,0,2.7,13.3,21,114,105,8.1
